DATE,CPALTT01USM657N,,https://fred.stlouisfed.org/series/CPALTT01USM657N
6/1/71,0.744416873,,
7/1/71,0.246305419,,
8/1/71,0.245700246,,
9/1/71,0,,
10/1/71,0.245098039,,
11/1/71,0,,
12/1/71,0.488997555,,
1/1/72,0,,
2/1/72,0.486618005,,
3/1/72,0.242130751,,
4/1/72,0.241545894,,
5/1/72,0.240963855,,
6/1/72,0.240384615,,
7/1/72,0.479616307,,
8/1/72,0.238663484,,
9/1/72,0.238095238,,
10/1/72,0.475059382,,
11/1/72,0.236406619,,
12/1/72,0.235849057,,
1/1/73,0.235294118,,
2/1/73,0.704225352,,
3/1/73,0.932400932,,
4/1/73,0.692840647,,
5/1/73,0.688073394,,
6/1/73,0.683371298,,
7/1/73,0.226244344,,
8/1/73,1.805869074,,
9/1/73,0.22172949,,
10/1/73,0.884955752,,
11/1/73,0.657894737,,
12/1/73,0.653594771,,
1/1/74,0.865800866,,
2/1/74,1.287553648,,
3/1/74,1.271186441,,
4/1/74,0.418410042,,
5/1/74,1.25,,
6/1/74,0.823045267,,
7/1/74,0.816326531,,
8/1/74,1.214574899,,
9/1/74,1.2,,
10/1/74,0.988142292,,
11/1/74,0.782778865,,
12/1/74,0.776699029,,
1/1/75,0.385356455,,
2/1/75,0.767754319,,
3/1/75,0.380952381,,
4/1/75,0.379506641,,
5/1/75,0.56710775,,
6/1/75,0.751879699,,
7/1/75,1.119402985,,
8/1/75,0.184501845,,
9/1/75,0.552486188,,
10/1/75,0.549450549,,
11/1/75,0.72859745,,
12/1/75,0.361663653,,
1/1/76,0.18018018,,
2/1/76,0.35971223,,
3/1/76,0.17921147,,
4/1/76,0.357781753,,
5/1/76,0.713012478,,
6/1/76,0.530973451,,
7/1/76,0.528169014,,
8/1/76,0.525394046,,
9/1/76,0.348432056,,
10/1/76,0.520833333,,
11/1/76,0.172711572,,
12/1/76,0.344827586,,
1/1/77,0.515463918,,
2/1/77,1.025641026,,
3/1/77,0.676818951,,
